url,retweet_count,quote_tweet_count,like_count
https://twitter.com/0ffbe576aa6c419/status/1317092765948350464,3,2,0
https://twitter.com/0hmykhim/status/1317100304056213504,4,1,0
https://twitter.com/0jhy14lee/status/1317066339668815872,13,2,0
https://twitter.com/0jhy14lee/status/1317101436207951873,1,1,1
https://twitter.com/0mjtp/status/1307383098925961216?s=21,"4,888",22,364
https://twitter.com/0mjtp/status/1317109290272845824?s=19,11.9K,82,"1,921"
https://twitter.com/0s_s02/status/1317338289188188163,"7,299",36,987
https://twitter.com/0sanit_jm/status/1269628295462522880,2,1,1
https://twitter.com/0vrsnr/status/1317399648915501056,194,2,55
https://twitter.com/0yomb/status/1317115129268334595,2,1,2
https://twitter.com/1000Winds_/status/1317097792179851276,"4,148",56,"1,005"
https://twitter.com/100237/status/1317395717678264320,12,0,0
https://twitter.com/100237/status/1317438317655306241,25,0,0
https://twitter.com/10034Malinee/status/1317453832561979392,2,0,3
https://twitter.com/1003melody1/status/1230781487944888320,"9,929",21,"1,882"
https://twitter.com/1006ssp/status/1317100327951163392,44.2K,157,"9,593"
https://twitter.com/1008bli/status/1307582635397361665,51.5K,69,"8,371"
https://twitter.com/100AlluringBH/status/1268945701666357248,"1,458",30,224
https://twitter.com/100AlluringBH/status/1307386156070264832,"4,892",40,529
https://twitter.com/100AlluringBH/status/1307386726894063616,628,7,37
https://twitter.com/100AlluringBH/status/1307391723094458368,"1,431",8,65
https://twitter.com/100AlluringBH/status/1307399005085691905,215,7,34
https://twitter.com/100AlluringBH/status/1317068697324843011,"2,892",14,341
https://twitter.com/100AlluringBH/status/1317069124229427200,25,0,0
https://twitter.com/100AlluringBH/status/1317084362584698884,"8,931",37,510
https://twitter.com/100AlluringBH/status/1317384476356349952,748,7,117
https://twitter.com/100AlluringBH/status/1331259207962673154,149,2,38
https://twitter.com/100AlluringBH/status/1331503677358567424,"6,556",30,"1,670"
https://twitter.com/100AlluringBH/status/1331635498184372225,357,13,149
https://twitter.com/100D1M/status/1317080116657147907,22,2,0
https://twitter.com/100bshinellight/status/1317079247756800000,36,4,4
https://twitter.com/100isallaround/status/1317094314690760705,407,2,34
https://twitter.com/100isallaround/status/1317097623602356224,18,2,0
https://twitter.com/1012_2508/status/1317292456510017536,11,0,2
https://twitter.com/101boyssubthai/status/1317427289773146112,1,1,0
https://twitter.com/1023WKOF/status/1307191175640567808,97,0,28
https://twitter.com/1028markmark/status/1317312331928412161,453,22,596
https://twitter.com/102_ice/status/1317411791635324928,15.1K,45,"2,959"
https://twitter.com/106_dec/status/1331661259385651203,33,3,16
https://twitter.com/106celsius/status/1317071070378168320?s=19,34.8K,336,"3,544"
https://twitter.com/106celsius/status/1317071070378168320?s=20,34.8K,336,"3,544"
https://twitter.com/106celsius/status/1331634942451671040,391,5,101
https://twitter.com/1092me/status/1317503186475786240,94,5,15
https://twitter.com/10987654321nw/status/1317439989530075137,1,1,2
https://twitter.com/10NIRANAM/status/1331724532755775489,23,3,11
https://twitter.com/10Novx_/status/1307428341801086977,79,0,6
https://twitter.com/10Novx_/status/1307430985005371392,89,8,7
https://twitter.com/10_do_p/status/1331599690815598600,0,1,1
