date,rank,hashtag,total_tweets
2020-09-01 00:00:00,1,#BTS1onHot100,Under 10K tweets
2020-09-01 00:00:00,2,#SeptemberWish,Under 10K tweets
2020-09-01 00:00:00,3,#JIMIM,Under 10K tweets
2020-09-01 00:00:00,4,#JungkookDay,Under 10K tweets
2020-09-01 00:00:00,5,#kookmin,Under 10K tweets
2020-09-01 00:00:00,6,WE MISS YOU LISA,Under 10K tweets
2020-09-01 00:00:00,7,#แบนไอดอลคนไทยในเกาหลี,Under 10K tweets
2020-09-01 00:00:00,8,#มาร้องสู้มะเร็ง,364.0K tweets
2020-09-01 00:00:00,9,#ฉลาดเกมส์โกงEP9,Under 10K tweets
2020-09-01 00:00:00,10,#พรหมพิศวาสep13,Under 10K tweets
2020-09-01 00:00:00,11,#รักพร้อมเบ้นซ์,Under 10K tweets
2020-09-01 00:00:00,12,#100MHeartsFromBrights,Under 10K tweets
2020-09-01 00:00:00,13,#หยุดเขื่อนเหมืองตะกั่ว,Under 10K tweets
2020-09-01 00:00:00,14,#AmazingThailandxSaint,43.9K tweets
2020-09-01 00:00:00,15,#NineEntertainxMEW,Under 10K tweets
2020-09-01 00:00:00,16,#1YearWithMimigumo,Under 10K tweets
2020-09-01 00:00:00,17,#แฟนไม่ไหว,174.2K tweets
2020-09-01 00:00:00,18,#อาการงี้,42.3K tweets
2020-09-01 00:00:00,19,#ถ้าการเมืองดี,Under 10K tweets
2020-09-01 00:00:00,20,#Even_of_Day,Under 10K tweets
2020-09-01 00:00:00,21,#WeAreOneWithKAI,Under 10K tweets
2020-09-01 00:00:00,22,#GetToKnowYou,Under 10K tweets
2020-09-01 00:00:00,23,#โรคซึมเศร้า,58.6K tweets
2020-09-01 00:00:00,24,#TigerInside_MVTeaser,Under 10K tweets
2020-09-01 00:00:00,25,#ภูตรัตติกาลep22,16.9K tweets
2020-09-01 00:00:00,26,#SMPROTECTKAI,243.9K tweets
2020-09-01 00:00:00,27,#ForeverWithJungkook,424.7K tweets
2020-09-01 00:00:00,28,#VMAs,Under 10K tweets
2020-09-01 00:00:00,29,#HAPPY_EUNSANG_DEBUT,70.5K tweets
2020-09-01 00:00:00,30,#DaydreamingYujinDay,Under 10K tweets
2020-09-01 00:00:00,31,#MewSuppasit,Under 10K tweets
2020-09-01 00:00:00,32,#정국생일ᄎᄏ,Under 10K tweets
2020-09-01 00:00:00,33,#SuperM_TigerInside,116.9K tweets
2020-09-01 00:00:00,34,#แบล่บ,Under 10K tweets
2020-09-01 00:00:00,35,#ดวงแบบนี้ไม่มีจู๋ep10,Under 10K tweets
2020-09-01 00:00:00,36,#LoveRevolutionPremiere,Under 10K tweets
2020-09-01 00:00:00,37,#BamBam,Under 10K tweets
2020-09-01 00:00:00,38,#TREASURE,317.6K tweets
2020-09-01 00:00:00,39,#ParkBoGum,40.4K tweets
2020-09-01 00:00:00,40,#เบ๊บกั๊บชราไลน์มาแล้ว,Under 10K tweets
2020-09-01 00:00:00,41,#찬란한_9월은_유진이로_더_빛나,156.1K tweets
2020-09-01 00:00:00,42,#missuniversethailand2020,Under 10K tweets
2020-09-01 00:00:00,43,#หนึ่งในทรวงรีรันep12,Under 10K tweets
2020-09-01 00:00:00,44,#잠시후_여섯시_이은상_커밍쑨,Under 10K tweets
2020-09-01 00:00:00,45,#파도가_끝나는_곳까지,Under 10K tweets
2020-09-01 00:00:00,46,#사랑하는_정국아_생일_축하해,216.7K tweets
2020-09-01 00:00:00,47,#ASAHI,Under 10K tweets
2020-09-01 00:00:00,48,#ลองของซีรีส์ตอนจบ,Under 10K tweets
2020-09-01 00:00:00,49,#MAJORxPREM,Under 10K tweets
2020-09-01 00:00:00,50,#GoldenPrinceJKDay,Under 10K tweets
2020-09-01 01:00:00,1,#MEW2Mewlionslove,24.5K tweets
2020-09-01 01:00:00,2,#BTS1onHot100,1.2M tweets
2020-09-01 01:00:00,3,#SeptemberWish,15.5K tweets
2020-09-01 01:00:00,4,#ฝนตก,Under 10K tweets
2020-09-01 01:00:00,5,#JIMIM,534.2K tweets
2020-09-01 01:00:00,6,WE MISS YOU LISA,98.2K tweets
2020-09-01 01:00:00,7,#PECKXDAVIKAH,16.0K tweets
2020-09-01 01:00:00,8,#JungkookDay,1.9M tweets
2020-09-01 01:00:00,9,#1YearWithMimigumo,35.4K tweets
2020-09-01 01:00:00,10,#TREASURE,357.2K tweets
2020-09-01 01:00:00,11,#kookmin,48.3K tweets
2020-09-01 01:00:00,12,#แบนไอดอลคนไทยในเกาหลี,549.5K tweets
2020-09-01 01:00:00,13,#มาร้องสู้มะเร็ง,368.9K tweets
2020-09-01 01:00:00,14,#ฉลาดเกมส์โกงEP9,37.2K tweets
2020-09-01 01:00:00,15,#พรหมพิศวาสep13,25.2K tweets
2020-09-01 01:00:00,16,#รักพร้อมเบ้นซ์,74.0K tweets
2020-09-01 01:00:00,17,#100MHeartsFromBrights,191.1K tweets
2020-09-01 01:00:00,18,#หยุดเขื่อนเหมืองตะกั่ว,203.7K tweets
2020-09-01 01:00:00,19,#AmazingThailandxSaint,44.2K tweets
2020-09-01 01:00:00,20,#NineEntertainxMEW,179.8K tweets
2020-09-01 01:00:00,21,#แฟนไม่ไหว,135.0K tweets
2020-09-01 01:00:00,22,#ถ้าการเมืองดี,120.3K tweets
2020-09-01 01:00:00,23,#อาการงี้,42.7K tweets
2020-09-01 01:00:00,24,#Even_of_Day,323.0K tweets
2020-09-01 01:00:00,25,#WeAreOneWithKAI,232.5K tweets
2020-09-01 01:00:00,26,#โรคซึมเศร้า,57.2K tweets
2020-09-01 01:00:00,27,#TigerInside_MVTeaser,31.1K tweets
2020-09-01 01:00:00,28,#ภูตรัตติกาลep22,17.0K tweets
2020-09-01 01:00:00,29,#SMPROTECTKAI,227.8K tweets
2020-09-01 01:00:00,30,#VMAs,4.7M tweets
2020-09-01 01:00:00,31,#DaydreamingYujinDay,163.5K tweets
2020-09-01 01:00:00,32,#HAPPY_EUNSANG_DEBUT,70.8K tweets
2020-09-01 01:00:00,33,#정국생일ᄎᄏ,1.4M tweets
2020-09-01 01:00:00,34,#Day6,350.8K tweets
2020-09-01 01:00:00,35,#SuperM_TigerInside,126.3K tweets
2020-09-01 01:00:00,36,#แบล่บ,46.4K tweets
2020-09-01 01:00:00,37,#BamBam,93.1K tweets
2020-09-01 01:00:00,38,#ดวงแบบนี้ไม่มีจู๋ep10,Under 10K tweets
2020-09-01 01:00:00,39,#ParkBoGum,39.8K tweets
2020-09-01 01:00:00,40,#missuniversethailand2020,12.3K tweets
2020-09-01 01:00:00,41,#หนึ่งในทรวงรีรันep12,Under 10K tweets
2020-09-01 01:00:00,42,#잠시후_여섯시_이은상_커밍쑨,64.4K tweets
2020-09-01 01:00:00,43,#파도가_끝나는_곳까지,263.6K tweets
2020-09-01 01:00:00,44,#사랑하는_정국아_생일_축하해,222.8K tweets
2020-09-01 01:00:00,45,#เบ๊บกั๊บชราไลน์มาแล้ว,Under 10K tweets
2020-09-01 01:00:00,46,#ลองของซีรีส์ตอนจบ,Under 10K tweets
2020-09-01 01:00:00,47,#MAJORxPREM,30.1K tweets
2020-09-01 01:00:00,48,#GoldenPrinceJKDay,330.6K tweets
2020-09-01 01:00:00,49,#ASAHI,33.3K tweets
2020-09-01 01:00:00,50,#LoveRevolutionPremiere,26.3K tweets
2020-09-01 02:00:00,1,#MEW2Mewlionslove,124.8K tweets
2020-09-01 02:00:00,2,#ฝนตก,10.6K tweets
2020-09-01 02:00:00,3,#SeptemberWish,20.8K tweets
2020-09-01 02:00:00,4,#BTS1onHot100,1.3M tweets
2020-09-01 02:00:00,5,#JIMIM,582.3K tweets
2020-09-01 02:00:00,6,WE MISS YOU LISA,98.9K tweets
2020-09-01 02:00:00,7,#PECKXDAVIKAH,22.1K tweets
2020-09-01 02:00:00,8,#JungkookDay,2.0M tweets
2020-09-01 02:00:00,9,#1YearWithMimigumo,39.9K tweets
2020-09-01 02:00:00,10,#TREASURE,390.0K tweets
2020-09-01 02:00:00,11,#kookmin,48.4K tweets
2020-09-01 02:00:00,12,#แบนไอดอลคนไทยในเกาหลี,558.5K tweets
2020-09-01 02:00:00,13,#มาร้องสู้มะเร็ง,371.8K tweets
2020-09-01 02:00:00,14,#ฉลาดเกมส์โกงEP9,37.9K tweets
2020-09-01 02:00:00,15,#พรหมพิศวาสep13,25.4K tweets
2020-09-01 02:00:00,16,#รักพร้อมเบ้นซ์,75.3K tweets
2020-09-01 02:00:00,17,#100MHeartsFromBrights,120.8K tweets
2020-09-01 02:00:00,18,#AmazingThailandxSaint,44.4K tweets
2020-09-01 02:00:00,19,#หยุดเขื่อนเหมืองตะกั่ว,211.0K tweets
2020-09-01 02:00:00,20,#NineEntertainxMEW,179.9K tweets
2020-09-01 02:00:00,21,#ถ้าการเมืองดี,123.7K tweets
2020-09-01 02:00:00,22,#Even_of_Day,325.6K tweets
2020-09-01 02:00:00,23,#WeAreOneWithKAI,235.1K tweets
2020-09-01 02:00:00,24,#อาการงี้,43.0K tweets
2020-09-01 02:00:00,25,#โรคซึมเศร้า,55.7K tweets
2020-09-01 02:00:00,26,#TigerInside_MVTeaser,31.1K tweets
2020-09-01 02:00:00,27,#ภูตรัตติกาลep22,Under 10K tweets
2020-09-01 02:00:00,28,#SMPROTECTKAI,199.7K tweets
2020-09-01 02:00:00,29,#VMAs,3.5M tweets
2020-09-01 02:00:00,30,#DaydreamingYujinDay,167.1K tweets
2020-09-01 02:00:00,31,#HAPPY_EUNSANG_DEBUT,71.3K tweets
2020-09-01 02:00:00,32,#정국생일ᄎᄏ,1.4M tweets
2020-09-01 02:00:00,33,#แบล่บ,46.8K tweets
2020-09-01 02:00:00,34,#Day6,353.7K tweets
2020-09-01 02:00:00,35,#ภาคภูมิใจไบร์ทวิน,22.0K tweets
2020-09-01 02:00:00,36,#ดวงแบบนี้ไม่มีจู๋ep10,Under 10K tweets
2020-09-01 02:00:00,37,#BamBam,94.8K tweets
2020-09-01 02:00:00,38,#SuperM_TigerInside,130.5K tweets
2020-09-01 02:00:00,39,#missuniversethailand2020,14.6K tweets
2020-09-01 02:00:00,40,#ParkBoGum,39.3K tweets
2020-09-01 02:00:00,41,#BOBBY,Under 10K tweets
2020-09-01 02:00:00,42,#잠시후_여섯시_이은상_커밍쑨,64.8K tweets
2020-09-01 02:00:00,43,#เบ๊บกั๊บชราไลน์มาแล้ว,Under 10K tweets
2020-09-01 02:00:00,44,#찬란한_9월은_유진이로_더_빛나,162.7K tweets
2020-09-01 02:00:00,45,#파도가_끝나는_곳까지,265.8K tweets
2020-09-01 02:00:00,46,#사랑하는_정국아_생일_축하해,227.6K tweets
2020-09-01 02:00:00,47,#MAJORxPREM,30.5K tweets
2020-09-01 02:00:00,48,#GoldenPrinceJKDay,334.8K tweets
2020-09-01 02:00:00,49,#ASAHI,34.1K tweets
2020-09-01 02:00:00,50,#꾸기생일ᄎᄏ,518.3K tweets
2020-09-01 03:00:00,1,#MEW2Mewlionslove,173.9K tweets
2020-09-01 03:00:00,2,#ฝนตก,27.5K tweets
2020-09-01 03:00:00,3,#SeptemberWish,25.4K tweets
2020-09-01 03:00:00,4,#BTS1onHot100,1.4M tweets
2020-09-01 03:00:00,5,#ภาคภูมิใจไบร์ทวิน,31.8K tweets
2020-09-01 03:00:00,6,WE MISS YOU LISA,99.5K tweets
2020-09-01 03:00:00,7,#JIMIM,615.0K tweets
2020-09-01 03:00:00,8,#BOBBY,13.9K tweets
2020-09-01 03:00:00,9,#PECKXDAVIKAH,24.4K tweets
2020-09-01 03:00:00,10,#1YearWithMimigumo,43.4K tweets
2020-09-01 03:00:00,11,#แบนไอดอลคนไทยในเกาหลี,566.6K tweets
2020-09-01 03:00:00,12,#มาร้องสู้มะเร็ง,374.0K tweets
2020-09-01 03:00:00,13,#HappyBirthdayJungkook,975.2K tweets
2020-09-01 03:00:00,14,#ฉลาดเกมส์โกงEP9,38.4K tweets
2020-09-01 03:00:00,15,#kookmin,48.5K tweets
2020-09-01 03:00:00,16,#พรหมพิศวาสep13,25.5K tweets
2020-09-01 03:00:00,17,#รักพร้อมเบ้นซ์,76.2K tweets
2020-09-01 03:00:00,18,#หยุดเขื่อนเหมืองตะกั่ว,218.1K tweets
2020-09-01 03:00:00,19,#AmazingThailandxSaint,44.6K tweets
2020-09-01 03:00:00,20,#정국이의_빛나는_스물네번째_여름,779.4K tweets
2020-09-01 03:00:00,21,#NineEntertainxMEW,180.0K tweets
2020-09-01 03:00:00,22,#ถ้าการเมืองดี,127.8K tweets
2020-09-01 03:00:00,23,#Even_of_Day,327.2K tweets
2020-09-01 03:00:00,24,#อาการงี้,43.3K tweets
2020-09-01 03:00:00,25,#WeAreOneWithKAI,237.0K tweets
2020-09-01 03:00:00,26,#100MHeartsFromBrights,78.7K tweets
2020-09-01 03:00:00,27,#TigerInside_MVTeaser,31.2K tweets
2020-09-01 03:00:00,28,#ภูตรัตติกาลep22,17.2K tweets
2020-09-01 03:00:00,29,#SMPROTECTKAI,170.8K tweets
2020-09-01 03:00:00,30,#VMAs,2.8M tweets
2020-09-01 03:00:00,31,#โรคซึมเศร้า,53.9K tweets
2020-09-01 03:00:00,32,#DaydreamingYujinDay,169.0K tweets
