date,rank,hashtag,total_tweets
2020-07-01 00:00:00,1,#เป๊กชวนตื่นเช้า,16.5K tweets
2020-07-01 00:00:00,2,#JulyWish,Under 10K tweets
2020-07-01 00:00:00,3,#เปิดเทอม,85.0K tweets
2020-07-01 00:00:00,4,#OurRoseTaeyongDay,856.9K tweets
2020-07-01 00:00:00,5,#วอร์ที่แปลว่าสามี,104.7K tweets
2020-07-01 00:00:00,6,#IRENE,301.7K tweets
2020-07-01 00:00:00,7,#TREASUREisCOMING,19.3K tweets
2020-07-01 00:00:00,8,#HappyLeeteukDay,79.9K tweets
2020-07-01 00:00:00,9,#โบ๊ะบ๊ะการบูรเมนท่อล_DAY2,37.0K tweets
2020-07-01 00:00:00,10,#BrightWinInboxEP1,393.1K tweets
2020-07-01 00:00:00,11,#รอยยิ้มของเซียวจ้าน,45.6K tweets
2020-07-01 00:00:00,12,#ถ้าโซชิคัมแบค,23.5K tweets
2020-07-01 00:00:00,13,#3rdแมะANV,90.2K tweets
2020-07-01 00:00:00,14,#BabyBrightHappyDayWithOffGun,88.4K tweets
2020-07-01 00:00:00,15,#Ask_BLACKPINK,192.1K tweets
2020-07-01 00:00:00,16,#MEWmakesMeSmile,144.3K tweets
2020-07-01 00:00:00,17,#พยากรณ์ซ่อนรักep6,51.5K tweets
2020-07-01 00:00:00,18,#มิบอกหรอกจ้ะ,48.6K tweets
2020-07-01 00:00:00,19,#MONSTER_D5,98.1K tweets
2020-07-01 00:00:00,20,#AIS5GTHAILANDVIRTUALEXPO,15.4K tweets
2020-07-01 00:00:00,21,#ONEDAYwithTRINITY_EP1,20.6K tweets
2020-07-01 00:00:00,22,#PantipxMewGulf,252.3K tweets
2020-07-01 00:00:00,23,#ให้ฉันโทรไปได้ไหม,28.7K tweets
2020-07-01 00:00:00,24,#pleasetreatJaebetter,34.1K tweets
2020-07-01 00:00:00,25,#AIS5Gที่1ตัวจริง,14.5K tweets
2020-07-01 00:00:00,26,#BLACKPINKonBLUEROOM,174.0K tweets
2020-07-01 00:00:00,27,#CALL,23.3K tweets
2020-07-01 00:00:00,28,#ลลลซเอ็มโป๊ะแตก,47.9K tweets
2020-07-01 00:00:00,29,#VoteForEXOth,15.5K tweets
2020-07-01 00:00:00,30,#2020BTSFESTA,43.7K tweets
2020-07-01 00:00:00,31,#M6ApologizetoTwice,74.6K tweets
2020-07-01 00:00:00,32,#SummerBreeze,70.5K tweets
2020-07-01 00:00:00,33,#SUGA,187.6K tweets
2020-07-01 00:00:00,34,#jhope,154.4K tweets
2020-07-01 00:00:00,35,#FlukeTheSourceOfHappiness,82.1K tweets
2020-07-01 00:00:00,36,#BAMBAMxTheStandardPOP,37.0K tweets
2020-07-01 00:00:00,37,#BTSARMY,154.9K tweets
2020-07-01 00:00:00,38,#ธนาคารกรุงเทพ,Under 10K tweets
2020-07-01 00:00:00,39,#Jungkook,235.0K tweets
2020-07-01 00:00:00,40,#Jenlisa,54.4K tweets
2020-07-01 00:00:00,41,#LostboysxZeepruk,37.0K tweets
2020-07-01 00:00:00,42,#เพิ่มยอดฟอลforเทรนด์ไบร์ทวิน,22.9K tweets
2020-07-01 00:00:00,43,#Little_SEULGI_Monster,12.4K tweets
2020-07-01 00:00:00,44,#레드벨벳_아이린_슬기_Monster,11.2K tweets
2020-07-01 00:00:00,45,#VoteNeneDay3,40.7K tweets
2020-07-01 00:00:00,46,#little_irene_monster,13.2K tweets
2020-07-01 00:00:00,47,#เม้นท์ก่อนVLOGxPerthLay,12.9K tweets
2020-07-01 00:00:00,48,#LOVE_WOODZ_EQUAL_HARDER,28.8K tweets
2020-07-01 00:00:00,49,#F2K_BadBoyคอยรัก,27.7K tweets
2020-07-01 00:00:00,50,#โป๊ปคิม,65.4K tweets
2020-07-01 01:00:00,1,#เป๊กชวนตื่นเช้า,Under 10K tweets
2020-07-01 01:00:00,2,#JulyWish,Under 10K tweets
2020-07-01 01:00:00,3,#เปิดเทอม,Under 10K tweets
2020-07-01 01:00:00,4,#큥_밀리언셀러_축하해,Under 10K tweets
2020-07-01 01:00:00,5,#วอร์ที่แปลว่าสามี,Under 10K tweets
2020-07-01 01:00:00,6,#IRENE,Under 10K tweets
2020-07-01 01:00:00,7,#ThatsOkay1stAnniversary,104.4K tweets
2020-07-01 01:00:00,8,#HAPPYTAEYONGDAY,Under 10K tweets
2020-07-01 01:00:00,9,#แบมแบมของขลัง,Under 10K tweets
2020-07-01 01:00:00,10,#HappyLeeteukDay,Under 10K tweets
2020-07-01 01:00:00,11,#โบ๊ะบ๊ะการบูรเมนท่อล_DAY2,Under 10K tweets
2020-07-01 01:00:00,12,#TREASUREisCOMING,Under 10K tweets
2020-07-01 01:00:00,13,#BrightWinInboxEP1,Under 10K tweets
2020-07-01 01:00:00,14,#รอยยิ้มของเซียวจ้าน,Under 10K tweets
2020-07-01 01:00:00,15,#ถ้าโซชิคัมแบค,Under 10K tweets
2020-07-01 01:00:00,16,#3rdแมะANV,Under 10K tweets
2020-07-01 01:00:00,17,#BabyBrightHappyDayWithOffGun,Under 10K tweets
2020-07-01 01:00:00,18,#MEWmakesMeSmile,145.2K tweets
2020-07-01 01:00:00,19,#พยากรณ์ซ่อนรักep6,Under 10K tweets
2020-07-01 01:00:00,20,#มิบอกหรอกจ้ะ,48.6K tweets
2020-07-01 01:00:00,21,#MONSTER_D5,Under 10K tweets
2020-07-01 01:00:00,22,#AIS5GTHAILANDVIRTUALEXPO,15.6K tweets
2020-07-01 01:00:00,23,#ONEDAYwithTRINITY_EP1,Under 10K tweets
2020-07-01 01:00:00,24,#PantipxMewGulf,Under 10K tweets
2020-07-01 01:00:00,25,#ให้ฉันโทรไปได้ไหม,Under 10K tweets
2020-07-01 01:00:00,26,#pleasetreatJaebetter,Under 10K tweets
