date,rank,hashtag,total_tweets
2020-04-01 00:00:00,1,#AprilFoolsDay,1.4M tweets
2020-04-01 00:00:00,2,#กําหมัดแน้วว,38.3K tweets
2020-04-01 00:00:00,3,#พี่บ่าวต้า,Under 10K tweets
2020-04-01 00:00:00,4,#บิวกิ้นพีพีไม่ได้เป็นแฟนกัน,20.7K tweets
2020-04-01 00:00:00,5,#throwbackchiangmai,Under 10K tweets
2020-04-01 00:00:00,6,safeathome,Under 10K tweets
2020-04-01 00:00:00,7,nct 2020,113.3K tweets
2020-04-01 00:00:00,8,April Fool's Day,166.2K tweets
2020-04-01 00:00:00,9,#NINEPERCENT1STLIVEINBANGKOK,Under 10K tweets
2020-04-01 00:00:00,10,#Aprilwish,Under 10K tweets
2020-04-01 00:00:00,11,#1AprHBDKimmon,Under 10K tweets
2020-04-01 00:00:00,12,#ไบร์ท,Under 10K tweets
2020-04-01 00:00:00,13,#talkwithbright,356.1K tweets
2020-04-01 00:00:00,14,#dek63,715.4K tweets
2020-04-01 00:00:00,15,#เล่ห์บรรพกาลEP9,81.8K tweets
2020-04-01 00:00:00,16,#กูสั่งให้มึงเลิกซื้ออาวุธ,243.6K tweets
2020-04-01 00:00:00,17,#เมนูไข่Challenge,116.1K tweets
2020-04-01 00:00:00,18,#จอยล่ม,10.3K tweets
2020-04-01 00:00:00,19,#2u1stwin,140.7K tweets
2020-04-01 00:00:00,20,#GATPAT63,187.8K tweets
2020-04-01 00:00:00,21,#LiveAtLunchxOff,279.1K tweets
2020-04-01 00:00:00,22,#FantalkwithWin,19.5K tweets
2020-04-01 00:00:00,23,#เสวนาประสาชาวบ้าน,13.1K tweets
2020-04-01 00:00:00,24,#BrightSmileJunhoeDay,78.4K tweets
2020-04-01 00:00:00,25,#TrueMoneyStayAtHomexKAO,Under 10K tweets
2020-04-01 00:00:00,26,#CIX_Revival,12.6K tweets
2020-04-01 00:00:00,27,#BeMyBabyxKrist,83.6K tweets
2020-04-01 00:00:00,28,#หนังหน้าโรงxคั่นกู,40.8K tweets
2020-04-01 00:00:00,29,#BeMyBabyคนนี้เด็กผม,86.9K tweets
2020-04-01 00:00:00,30,#LETSLOVESUHO,85.1K tweets
2020-04-01 00:00:00,31,#พี่ซึงยูน,21.2K tweets
2020-04-01 00:00:00,32,#saveไวไว,28.9K tweets
2020-04-01 00:00:00,33,#YOUNGJAE_SOLO2020,21.4K tweets
2020-04-01 00:00:00,34,#CHANYEOL,246.4K tweets
2020-04-01 00:00:00,35,#HunHanmonth,Under 10K tweets
2020-04-01 00:00:00,36,#มาร์คมีน,12.8K tweets
2020-04-01 00:00:00,37,#debutwithbts,942.3K tweets
2020-04-01 00:00:00,38,#คิดถึงทรินิตี้อีกแล้ว,26.3K tweets
2020-04-01 00:00:00,39,#KAOEARTHFirstAnniversary,38.7K tweets
2020-04-01 00:00:00,40,#เทเลทับขี้,38.6K tweets
2020-04-01 00:00:00,41,#HBDKaew26,Under 10K tweets
2020-04-01 00:00:00,42,#TWICEFOOD,201.6K tweets
2020-04-01 00:00:00,43,#NONTLIVE,Under 10K tweets
2020-04-01 00:00:00,44,#ไปให้ถึงดวงดาวep18,Under 10K tweets
2020-04-01 00:00:00,45,#เนนนยอน,16.1K tweets
2020-04-01 00:00:00,46,#talkwithPchampion,Under 10K tweets
2020-04-01 00:00:00,47,#markno,Under 10K tweets
2020-04-01 00:00:00,48,#1YearWithSoloistCHEN,129.0K tweets
2020-04-01 00:00:00,49,#BTSONHomeFest,640.4K tweets
2020-04-01 00:00:00,50,#คิดถึงทอมอิศรา,Under 10K tweets
2020-04-01 01:00:00,1,#AprilFoolsDay,1.5M tweets
2020-04-01 01:00:00,2,#กําหมัดแน้วว,43.1K tweets
2020-04-01 01:00:00,3,#บิวกิ้นพีพีไม่ได้เป็นแฟนกัน,25.7K tweets
2020-04-01 01:00:00,4,#พี่บ่าวต้า,11.7K tweets
2020-04-01 01:00:00,5,#throwbackchiangmai,12.7K tweets
2020-04-01 01:00:00,6,safeathome,Under 10K tweets
2020-04-01 01:00:00,7,nct 2020,113.8K tweets
2020-04-01 01:00:00,8,#NINEPERCENT1STLIVEINBANGKOK,Under 10K tweets
2020-04-01 01:00:00,9,#1AprHBDKimmon,12.0K tweets
2020-04-01 01:00:00,10,#talkwithbright,357.2K tweets
2020-04-01 01:00:00,11,#dek63,722.3K tweets
2020-04-01 01:00:00,12,#เล่ห์บรรพกาลEP9,82.7K tweets
2020-04-01 01:00:00,13,#กูสั่งให้มึงเลิกซื้ออาวุธ,245.1K tweets
2020-04-01 01:00:00,14,#เมนูไข่Challenge,117.0K tweets
2020-04-01 01:00:00,15,#จอยล่ม,10.2K tweets
2020-04-01 01:00:00,16,#2u1stwin,141.5K tweets
2020-04-01 01:00:00,17,#GATPAT63,189.2K tweets
2020-04-01 01:00:00,18,#LiveAtLunchxOff,279.5K tweets
2020-04-01 01:00:00,19,#FantalkwithWin,18.6K tweets
2020-04-01 01:00:00,20,#เสวนาประสาชาวบ้าน,13.3K tweets
2020-04-01 01:00:00,21,#BrightSmileJunhoeDay,73.1K tweets
2020-04-01 01:00:00,22,#TrueMoneyStayAtHomexKAO,10.5K tweets
2020-04-01 01:00:00,23,#CIX_Revival,12.8K tweets
2020-04-01 01:00:00,24,#BeMyBabyxKrist,84.3K tweets
2020-04-01 01:00:00,25,#หนังหน้าโรงxคั่นกู,40.8K tweets
2020-04-01 01:00:00,26,#BeMyBabyคนนี้เด็กผม,87.3K tweets
2020-04-01 01:00:00,27,#2UKANGDANIEL1stWin,26.0K tweets
2020-04-01 01:00:00,28,#LETSLOVESUHO,77.8K tweets
2020-04-01 01:00:00,29,#พี่ซึงยูน,21.2K tweets
2020-04-01 01:00:00,30,#saveไวไว,25.9K tweets
2020-04-01 01:00:00,31,#YOUNGJAE_SOLO2020,19.5K tweets
2020-04-01 01:00:00,32,#CHANYEOL,214.7K tweets
2020-04-01 01:00:00,33,#HunHanmonth,Under 10K tweets
2020-04-01 01:00:00,34,#มาร์คมีน,13.2K tweets
2020-04-01 01:00:00,35,#debutwithbts,968.4K tweets
2020-04-01 01:00:00,36,#KAOEARTHFirstAnniversary,38.9K tweets
2020-04-01 01:00:00,37,#เทเลทับขี้,36.6K tweets
2020-04-01 01:00:00,38,#HBDKaew26,Under 10K tweets
2020-04-01 01:00:00,39,#TWICEFOOD,209.0K tweets
2020-04-01 01:00:00,40,#NONTLIVE,Under 10K tweets
2020-04-01 01:00:00,41,#ไปให้ถึงดวงดาวep18,Under 10K tweets
2020-04-01 01:00:00,42,#เนนนยอน,14.9K tweets
2020-04-01 01:00:00,43,#talkwithPchampion,Under 10K tweets
2020-04-01 01:00:00,44,#markno,Under 10K tweets
2020-04-01 01:00:00,45,#1YearWithSoloistCHEN,131.7K tweets
2020-04-01 01:00:00,46,#BTSONHomeFest,641.5K tweets
2020-04-01 01:00:00,47,#จอยลดา,Under 10K tweets
2020-04-01 01:00:00,48,#ธนาคารกรุงเทพ,Under 10K tweets
2020-04-01 01:00:00,49,#로하의_하나뿐인_별이_돼줘서_고마워,85.1K tweets
2020-04-01 01:00:00,50,#SujuSongChallenge,Under 10K tweets
2020-04-01 02:00:00,1,#กําหมัดแน้วว,48.9K tweets
2020-04-01 02:00:00,2,#บิวกิ้นพีพีไม่ได้เป็นแฟนกัน,33.1K tweets
2020-04-01 02:00:00,3,#Aprilwish,Under 10K tweets
2020-04-01 02:00:00,4,#talkwithbright,358.6K tweets
